title,press,date,summary,url,query
'연두색 번호판' 기피 현상 감소…고급 수입차 판매 '꿈틀',뉴시스언론사 선정,2025-04-07,"지난해부터 시행한 '연두색 번호판' 제도로 고급 수입 법인차 판매량이 급감했지만, 올해 다시 반등 조짐을 보이고 있다. 24일 한국수입자동차협회(KAIDA)에 따르면 지난달까지 법인으로 등록한 1억원 이상 수입차는 5501대로 파악됐다. 지난해 같은 기간(4394대) 대비 25%가량 증가한 수치다. 지난해...",https://www.newsis.com/view/NISX20250324_0003110599,법인차 제도
"‘연두색 번호판’ 꺼리는 사장님들… 국토부, 법인차 전수조사",서울신문,2024-11-11,올해부터 시행된 ‘고가 법인차 연두색 번호판 제도’가 각종 꼼수에 노출돼 지켜지지 않는다는 지적이 잇따르자 정부가 올해 등록된 법인차를 대상으로 전수 조사에 나섰다. 이 제도는 윤석열 대통령의 대선 공약으로 고가 법인차의 사적 이용을 막기 위해 도입됐다. 하지만 눈에 잘 띄는 연두색 번호판이...,https://www.seoul.co.kr/news/economy/2024/11/11/20241111018008?wlog_tag3=naver,법인차 제도
'연두색 번호판'은 창피했나…2024년 법인차 등록 1만대 '뚝',세계일보언론사 선정,2024-08-30,"다만 제도 도입 직전 미리 법인차를 사두려는 수요가 몰리며 고가 차량 판매가 일시적으로 증가했던만큼, 당분간 감소가 이어지다가 점차 예년 수준으로 회복될 수도 있다. 한국수입자동차협회와 한국자동차모빌리티산업협회에 따르면 지난해 국내에서 팔린 1억5000만원 이상 고가 차량은 전년...",http://www.segye.com/newsView/20240830505156?OutUrl=naver,법인차 제도
올해 고가 법인차 신차 등록 급감 “연두색 번호판 효과”,이데일리,2024-08-29,올해 1월 1일부터 8000만원 이상인 법인 차량에 ‘연두색 번호판’을 부착하도록 한 제도 시행 이후 고가 법인차 등록 대수가 눈에 띄게 줄어든 것으로 나타났다. 29일 카이즈유데이터연구소에 따르면 올해 1~7월 8000만원 이상 법인차 신차등록 대수는 대수는 2만7400대로 지난해 같은 기간(1만506대)보다...,http://www.edaily.co.kr/news/newspath.asp?newsid=03152086638992240,법인차 제도
[차량번호판의 세계] 연두색 번호판 제도 시행에 고가 법인차 등록 감소... 찬반 논쟁도,세계비즈,2024-03-27,긍정론자들은 제도 취지대로 연두색 번호판이 우리 사회에 만연한 법인 차량 사적 사용을 막고 조세 형평성을 제고할 것이라 주장한다. 반면 일각에선 연두색 번호판이 ‘회사에서 받은 고급차’라는 인식을 심어 필요차량에 대한 위화감을 부추길 수 있다고 지적한다. 일부 네티즌은 “이제 국가에서...,http://www.segyebiz.com/newsView/20240327516121?OutUrl=naver,법인차 제도
고가 법인차 ‘연두색 번호판 부착’...제도 개정 후 결과 살펴보니,IT동아,2024-03-11,"연두색 번호판 부착 제도 시행 후 고가 법인차 판매량 급감 국토교통부는 지난해 11월, 공공 및 민간법인에서 이용하는 8000만원 이상 법인차에 대해 일반 등록번호판과 구별하도록 새로운 등록번호판을 도입하는 내용을 골자로 ‘자동차 등록번호판 등의 기준에 관한 고시’ 개정안을 행정 예고했다....",https://it.donga.com/105074/,법인차 제도
연두색 번호판 낙인 효과… 수입 법인차 판매율 ‘뚝’,국민일보,2024-04-22,이 제도 시행이 고가 수입 법인차 등록 대수를 끌어 내린 것으로 풀이된다. 그동안 법인용 승용차 감세 효과를 노리고 고가의 수입차를 법인차로 사는 부작용이 있었다. 이에 따라 전체 수입차 판매량에서 법인차가 차지하던 비중도 크게 줄었다. 지난달 수입차 등록 대수 2만5263대 중 법인차의 등록...,https://www.kmib.co.kr/article/view.asp?arcid=1713688661&code=11151100&cp=nv,법인차 제도
연두색 번호판 부끄럽나… 럭셔리 수입 법인차 등록 ‘뚝’,문화일보,2024-04-15,올해부터 8000만원 이상땐 연두색 번호판 부착 제도화 3월 신규 수입 법인차 3868대 전년 동월 대비 31.4%나 줄어 전체 비중도 처음 30% 아래로 올해부터 취득가액 8000만 원 이상인 법인 차량에 ‘연두색 번호판’을 부착하는 제도가 본격 시행되면서 수입 법인차 등록 대수가 곤두박질치고 있다. 고가...,https://www.munhwa.com/news/view.html?no=2024041501071007024001,법인차 제도
연두색 번호판 달게 하자 고가 수입 법인차 등록 대수 '뚝',대경일보,2024-03-13,연합뉴스 8000만원 이상 법인차 전용 연두색 번호판 제도가 도입되고 나서 고가 수입 법인차 등록 대수가 1년 전과 비교해 크게 줄어든 것으로 나타났다. 13일 한국수입자동차협회(KAIDA)에 따르면 2월 가격이 8000만원 이상인 수입 법인차 등록 대수는 3551대로 나타났다. 지난해 같은 달 등록 대수...,https://www.dkilbo.com/news/articleView.html?idxno=434357,법인차 제도
"""연두색 번호판 싫어서···"" 늘어나는 법인차 꼼수들",한경비즈니스언론사 선정,2024-04-08,"고객들이 연두색 번호판 제도 시행으로 고가 법인차 구입을 꺼리자 수입차 업계에서 이러한 계약이 성행하고 있는 것으로 보인다. 누리꾼들은 “가격 기준 없이 법인차면 모두 연두색 번호판을 다는 것이 좋을 것 같다”, “꼼수가 아니라 대놓고 불법 아닌가” 등 제도의 허점을 지적하며 개선이...",https://magazine.hankyung.com/business/article/202404086547b,법인차 제도
"""법인차 연두 번호판 누가 발의했냐"" 불만에…""그래서 생긴 것"" 뭇매",SBS언론사 선정,2024-03-21,"이에 누리꾼들은 '법인차로 주말에 드라이브 가니까 만든 제도다', '기존 법인 차도 다 바꿨으면 좋겠다' 등의 반응을 보였습니다. 연두색 번호판 제도는 고가 법인 승용차의 사적 이용을 막기 위해서 시행되고 있는데요. 실효성에 대한 우려도 있었지만 제도가 도입된 이후 고가의 수입 법인차 구매가 약 30...",https://news.sbs.co.kr/news/endPage.do?news_id=N1007580440&plink=ORI&cooper=NAVER,법인차 제도
"[車돋보기] ""연두색 번호판 싫어요""…작년 말 법인차 판매 급증한 이유",아주경제,2024-02-07,"이 때문에 제도 시행에 앞서 법인차 구매 러시가 발생한 셈이다. 지난해 1억원 이상 수입차 판매량 1위를 달성한 브랜드는 3만2789대를 판매한 메르세데스 벤츠가 차지했다. 벤츠의 고급 브랜드 마이바흐는 2596대의 역대 최대 판매량을 달성했고, G클래스(G바겐)도 2169대로 판매 신기록을 세웠다. 이어...",https://www.ajunews.com/view/20240206165205123,법인차 제도
연두색 번호판 싫어서? 지난해 3억 이상 법인차 등록 급증,아이뉴스24언론사 선정,2024-01-14,올해부터 법인이 신규·변경 등록하는 8000만원 이상 승용차에 연두색 번호판 부착이 의무화되면서 연두색 번호판 제도를 피하고자 고가 법인차 구매를 서두른 것이라는 분석이 나온다. 한편 지난해 말 기준 취득가액이 3억원을 넘는 법인 승용차 누적 등록 대수는 6029대로 조사됐다. 3억...,http://www.inews24.com/view/1676138,법인차 제도
"‘연두색 번호판’ 부끄러운 사장님… 국토부, 고가 수입차 ‘다운 계약’ 전수조사",서울신문,2024-11-10,올해부터 시행된 ‘고가 법인차 연두색 번호판 제도’가 각종 꼼수에 노출돼 지켜지지 않는다는 지적이 잇따르자 정부가 올해 등록된 법인차를 대상으로 전수 조사에 나섰다. 이 제도는 윤석열 대통령의 대선 공약으로 고가 법인차의 사적 이용을 막기 위해 도입됐다. 하지만 눈에 잘 띄는 연두색 번호판이...,https://www.seoul.co.kr/news/economy/2024/11/10/20241110500047?wlog_tag3=naver,법인차 제도
눈에 확띄는 연두 번호판 도입 … 무늬만 법인차 막는다,매일경제,2023-11-02,"개인이 차량을 구입하는 몫은 민간소비로 분류되지만, 기업이 법인차 구매를 위해 쓰는 돈은 설비투자 실적으로 잡히기 때문이다. 한국은행에 따르면 2분기 설비투자는 전기 대비 0.5% 증가했지만, 법인차 번호판 제도 도입이 불확실했던 3분기에는 -2.7%로 낙폭이 컸다. [ / ]",https://www.mk.co.kr/article/10864935,법인차 제도
"홍성국 의원 ""법인차 10대 중 4대, 운행기록 없이 세제 혜택 받았다""",세정일보,2023-10-10,"이와 관련 국토부는'법인차 전용 번호판 제도'를 도입하겠다 밝혔다. 법인차 번호판을 연두색으로 구분해 편법 탈세행위를 막겠다는 것이다. 그러나 '법인차 전용 번호판 제도'만으로 업무용 승용차의 사적 유용을 막기에는 턱없이 부족하다는 지적이 제기되고 있다. 홍성국 의원은 ""의무나 책임은 지우지...",https://www.sejungilbo.com/news/articleView.html?idxno=44770,법인차 제도
